CustomerID,true_segment
C00380,2
C00422,0
C00581,2
C00063,2
C00382,0
C00479,0
C00357,1
C00247,2
C00439,0
C00242,2
C00111,2
C00388,0
C00302,2
C00333,1
C00527,0
C00465,2
C00466,0
C00130,0
C00502,1
C00210,2
C00378,2
C00129,2
C00163,2
C00150,2
C00101,1
C00406,2
C00577,0
C00314,1
C00136,0
C00398,1
C00244,0
C00516,0
C00237,1
C00401,2
C00360,0
C00521,0
C00024,1
C00046,2
C00271,1
C00081,2
C00395,2
C00084,0
C00083,1
C00384,1
C00282,2
C00061,0
C00330,1
C00478,1
C00490,1
C00558,1
C00042,2
C00025,2
C00206,1
C00120,0
C00588,0
C00341,2
C00041,0
C00110,0
C00295,1
C00182,2
C00463,2
C00569,2
C00286,1
C00257,1
C00346,2
C00568,2
C00253,2
C00139,0
C00451,0
C00454,0
C00050,1
C00367,1
C00097,0
C00090,1
C00453,0
C00404,2
C00218,2
C00442,0
C00321,1
C00598,2
C00159,0
C00230,0
C00036,0
C00317,0
C00039,1
C00193,1
C00107,1
C00232,1
C00352,0
C00272,0
C00529,0
C00338,1
C00435,0
C00566,2
C00533,2
C00058,0
C00263,0
C00188,1
C00118,2
C00522,0
C00116,1
C00376,2
C00226,1
C00509,1
C00002,2
C00567,0
C00441,0
C00252,0
C00055,1
C00032,0
C00067,2
C00344,1
C00211,2
C00225,2
C00582,2
C00249,0
C00444,1
C00030,2
C00128,2
C00153,1
C00059,0
C00343,0
C00175,0
C00403,0
C00500,1
C00196,2
C00122,1
C00262,2
C00587,1
C00076,1
C00488,2
C00105,2
C00134,2
C00236,2
C00425,1
C00181,1
C00072,2
C00316,1
C00507,1
C00564,2
C00397,2
C00531,1
C00358,1
C00510,1
C00499,2
C00184,2
C00281,0
C00240,2
C00296,2
C00563,2
C00489,1
C00590,1
C00217,0
C00018,0
C00503,0
C00006,0
C00332,0
C00543,0
C00475,1
C00369,1
C00273,0
C00550,2
C00415,1
C00461,0
C00194,2
C00409,0
C00355,0
C00243,0
C00142,0
C00152,1
C00186,1
C00518,0
C00026,0
C00554,1
C00311,2
C00008,0
C00208,1
C00595,0
C00091,2
C00473,1
C00241,1
C00482,2
C00349,1
C00573,1
C00539,2
C00561,2
C00394,2
C00440,2
C00117,0
C00054,2
C00574,0
C00214,1
C00495,0
C00410,2
C00174,0
C00126,2
C00455,1
C00248,0
C00143,0
C00287,1
C00109,2
C00318,2
C00256,1
C00298,2
C00166,1
C00560,0
C00345,2
C00414,0
C00450,0
C00155,1
C00062,1
C00183,2
C00068,0
C00180,0
C00192,0
C00312,1
C00204,1
C00131,2
C00075,2
C00315,0
C00104,0
C00334,1
C00364,1
C00093,1
C00592,2
C00078,2
C00514,2
C00396,1
C00167,1
C00552,0
C00112,2
C00340,1
C00326,1
C00562,2
C00596,0
C00080,1
C00170,1
C00294,0
C00421,1
C00528,1
C00239,1
C00044,0
C00508,2
C00019,0
C00085,0
C00203,0
C00231,2
C00266,1
C00106,0
C00238,2
C00565,1
C00156,0
C00484,0
C00501,1
C00350,0
C00407,1
C00335,2
C00494,1
C00506,2
C00572,2
C00544,2
C00264,1
C00589,2
C00034,0
C00375,1
C00423,0
C00328,2
C00464,1
C00147,2
C00504,0
C00035,2
C00288,0
C00027,0
C00476,1
C00070,1
C00532,1
C00191,2
C00234,2
C00270,1
C00524,0
C00313,2
C00497,0
C00437,2
C00100,0
C00205,1
C00535,2
C00007,2
C00483,2
C00458,1
C00525,2
C00254,0
C00073,1
C00575,1
C00297,0
C00146,1
C00265,2
C00004,0
C00173,2
C00436,0
C00292,1
C00386,0
C00411,1
C00015,1
C00459,2
C00049,2
C00559,1
C00245,1
C00576,2
C00399,2
C00431,0
C00336,0
C00337,0
C00517,2
C00096,1
C00082,2
C00095,1
C00000,0
C00195,1
C00571,2
C00164,1
C00472,1
C00023,2
C00269,1
C00040,1
C00419,2
C00121,0
C00114,1
C00077,1
C00016,0
C00283,2
C00363,0
C00020,0
C00215,0
C00115,1
C00094,1
C00185,1
C00198,2
C00320,0
C00319,2
C00418,0
C00579,0
C00471,2
C00125,0
C00079,2
C00324,1
C00010,0
C00443,0
C00519,2
C00267,0
C00038,2
C00329,0
C00009,1
C00060,0
C00308,0
C00011,0
C00400,2
C00108,1
C00513,1
C00365,2
C00580,1
C00071,0
C00578,1
C00356,2
C00087,1
C00261,1
C00557,1
C00496,2
C00086,0
C00092,0
C00426,1
C00491,0
C00366,0
C00438,2
C00339,1
C00098,2
C00197,1
C00246,2
C00124,0
C00534,2
C00005,1
C00327,1
C00467,2
C00219,0
C00555,1
C00447,0
C00593,0
C00584,1
C00348,2
C00229,1
C00056,1
C00228,0
C00474,1
C00189,1
C00222,0
C00457,2
C00303,2
C00177,0
C00259,1
C00546,1
C00103,1
C00416,0
C00158,0
C00285,2
C00486,2
C00306,0
C00515,0
C00417,2
C00149,0
C00212,2
C00172,2
C00368,1
C00169,1
C00119,2
C00545,0
C00133,0
C00537,1
C00487,2
C00362,0
C00021,2
C00424,2
C00221,2
C00556,0
C00220,0
C00477,1
C00408,1
C00065,0
C00323,2
C00178,0
C00012,0
C00227,1
C00542,1
C00412,1
C00591,1
C00536,1
C00141,1
C00157,2
C00310,0
C00255,0
C00393,1
C00512,2
C00432,2
C00200,0
C00113,2
C00057,0
C00029,2
C00452,0
C00165,0
C00074,2
C00201,2
C00342,1
C00456,2
C00279,2
C00427,1
C00069,1
C00022,2
C00233,2
C00268,0
C00481,2
C00209,2
C00028,2
C00033,1
C00013,2
C00309,0
C00277,0
C00468,2
C00088,1
C00161,1
C00541,0
C00017,1
C00391,2
C00052,0
C00492,0
C00235,0
C00354,2
C00207,1
C00048,0
C00274,1
C00160,1
C00123,2
C00151,2
