subspace,dimensions,n_clusters,coverage
frequency,1,1,1.0
repeat_category_rate,1,1,1.0
weekend_ratio,1,1,1.0
product_diversity,1,1,0.9375
monetary,1,1,0.9270833333333334
recency,1,1,0.90625
avg_basket,1,1,0.8958333333333334
return_rate,1,2,0.8916666666666667
product_diversity & return_rate,2,1,0.5375
avg_basket & return_rate,2,1,0.48333333333333334
product_diversity & weekend_ratio,2,1,0.46875
recency & product_diversity,2,2,0.46875
frequency & return_rate,2,1,0.4666666666666667
avg_basket & product_diversity,2,1,0.46041666666666664
return_rate & repeat_category_rate,2,1,0.45
product_diversity & repeat_category_rate,2,2,0.45
monetary & avg_basket,2,2,0.36041666666666666
recency & repeat_category_rate,2,2,0.3333333333333333
recency & frequency,2,3,0.3333333333333333
return_rate & weekend_ratio,2,1,0.325
recency & weekend_ratio,2,2,0.31666666666666665
monetary & product_diversity,2,2,0.3
recency & avg_basket,2,3,0.3
monetary & return_rate,2,2,0.2875
frequency & product_diversity,2,3,0.2625
recency & monetary,2,3,0.2604166666666667
frequency & monetary,2,3,0.24583333333333332
recency & return_rate,2,4,0.23541666666666666
monetary & weekend_ratio,2,3,0.21666666666666667
monetary & repeat_category_rate,2,3,0.2
weekend_ratio & repeat_category_rate,2,1,0.16458333333333333
monetary & product_diversity & return_rate,3,1,0.15625
frequency & product_diversity & return_rate,3,1,0.14166666666666666
frequency & weekend_ratio,2,3,0.13541666666666666
frequency & monetary & product_diversity,3,4,0.13333333333333333
recency & frequency & monetary,3,1,0.13125
avg_basket & repeat_category_rate,2,2,0.12916666666666668
monetary & avg_basket & product_diversity,3,1,0.125
monetary & avg_basket & return_rate,3,1,0.125
recency & frequency & avg_basket,3,1,0.12291666666666666
frequency & avg_basket,2,5,0.12291666666666666
product_diversity & return_rate & weekend_ratio,3,1,0.12083333333333333
recency & monetary & repeat_category_rate,3,1,0.12083333333333333
frequency & repeat_category_rate,2,4,0.12083333333333333
recency & frequency & repeat_category_rate,3,1,0.12083333333333333
monetary & return_rate & weekend_ratio,3,1,0.11666666666666667
avg_basket & weekend_ratio,2,3,0.11666666666666667
monetary & product_diversity & weekend_ratio,3,1,0.11458333333333333
avg_basket & product_diversity & return_rate,3,1,0.1125
frequency & return_rate & weekend_ratio,3,1,0.1
frequency & monetary & return_rate,3,4,0.08541666666666667
recency & monetary & avg_basket,3,5,0.07083333333333333
frequency & monetary & avg_basket,3,9,0.07083333333333333
recency & frequency & monetary & avg_basket,4,2,0.06666666666666667
recency & monetary & return_rate,3,3,0.0625
recency & frequency & product_diversity,3,1,0.0625
recency & product_diversity & return_rate,3,3,0.0625
recency & monetary & product_diversity,3,3,0.06041666666666667
frequency & monetary & product_diversity & return_rate,4,15,0.058333333333333334
frequency & avg_basket & product_diversity,3,3,0.05625
recency & product_diversity & repeat_category_rate,3,1,0.05625
product_diversity & return_rate & repeat_category_rate,3,2,0.05625
frequency & monetary & avg_basket & product_diversity,4,14,0.052083333333333336
frequency & avg_basket & return_rate,3,4,0.052083333333333336
monetary & return_rate & repeat_category_rate,3,2,0.052083333333333336
recency & monetary & weekend_ratio,3,1,0.05
recency & frequency & weekend_ratio,3,1,0.05
frequency & product_diversity & weekend_ratio,3,2,0.05
frequency & monetary & avg_basket & return_rate,4,16,0.05
