cluster_id,k_dim,subspace,size,coverage_pct,description,business_label
2,1,['monetary'],4153,97.0,"monetary ∈ [0.20, 0.70]",General cluster
1,1,['frequency'],3879,90.6,"frequency ∈ [0.00, 0.40]",General cluster
0,1,['recency'],3757,87.8,"recency ∈ [0.30, 1.00]",General cluster
3,1,['avg_basket'],3729,87.1,"avg_basket ∈ [0.30, 0.50]",General cluster
4,1,['product_diversity'],3598,84.1,"product_diversity ∈ [0.20, 0.70]",General cluster
7,1,['repeat_category_rate'],3509,82.0,"repeat_category_rate ∈ [0.10, 0.50]",General cluster
5,1,['return_rate'],3334,77.9,"return_rate ∈ [0.00, 0.30]",General cluster
21,2,"['monetary', 'avg_basket']",2999,70.1,"monetary ∈ [0.30, 0.40] AND avg_basket ∈ [0.30, 0.50] OR monetary ∈ [0.40, 0.50] AND avg_basket ∈ [0.30, 0.50] OR monetary ∈ [0.50, 0.60] AND avg_basket ∈ [0.40, 0.50]",General cluster
6,1,['weekend_ratio'],2985,69.7,"weekend_ratio ∈ [0.00, 0.10]",General cluster
30,2,"['avg_basket', 'weekend_ratio']",2544,59.4,"avg_basket ∈ [0.30, 0.50] AND weekend_ratio ∈ [0.00, 0.10]",General cluster
19,2,"['frequency', 'weekend_ratio']",2513,58.7,"frequency ∈ [0.00, 0.30] AND weekend_ratio ∈ [0.00, 0.10]",General cluster
16,2,"['frequency', 'avg_basket']",2396,56.0,"frequency ∈ [0.00, 0.10] AND avg_basket ∈ [0.30, 0.50] OR frequency ∈ [0.10, 0.30] AND avg_basket ∈ [0.40, 0.50]",General cluster
36,2,"['weekend_ratio', 'repeat_category_rate']",2358,55.1,"weekend_ratio ∈ [0.00, 0.10] AND repeat_category_rate ∈ [0.10, 0.50]",General cluster
26,2,"['monetary', 'weekend_ratio']",2351,54.9,"monetary ∈ [0.30, 0.60] AND weekend_ratio ∈ [0.00, 0.10]",General cluster
14,2,"['frequency', 'monetary']",2334,54.5,"frequency ∈ [0.00, 0.10] AND monetary ∈ [0.20, 0.50] OR frequency ∈ [0.10, 0.20] AND monetary ∈ [0.40, 0.50]",One-time buyer
29,2,"['avg_basket', 'return_rate']",2256,52.7,"avg_basket ∈ [0.30, 0.50] AND return_rate ∈ [0.00, 0.10]",General cluster
33,2,"['product_diversity', 'weekend_ratio']",2213,51.7,"product_diversity ∈ [0.20, 0.60] AND weekend_ratio ∈ [0.00, 0.10]",General cluster
28,2,"['avg_basket', 'product_diversity']",2134,49.9,"avg_basket ∈ [0.30, 0.40] AND product_diversity ∈ [0.30, 0.50] OR avg_basket ∈ [0.40, 0.50] AND product_diversity ∈ [0.30, 0.60]",Explorer — Thích đa dạng sản phẩm
25,2,"['monetary', 'return_rate']",2107,49.2,"monetary ∈ [0.20, 0.50] AND return_rate ∈ [0.00, 0.10]",General cluster
31,2,"['avg_basket', 'repeat_category_rate']",2035,47.5,"avg_basket ∈ [0.30, 0.40] AND repeat_category_rate ∈ [0.20, 0.40] OR avg_basket ∈ [0.40, 0.50] AND repeat_category_rate ∈ [0.20, 0.40]",General cluster
18,2,"['frequency', 'return_rate']",2033,47.5,"frequency ∈ [0.00, 0.20] AND return_rate ∈ [0.00, 0.10]",General cluster
