algorithm,params,n_clusters,noise_pct,accuracy,f1_macro,f1_weighted,adjusted_rand,nmi,homogeneity,completeness,v_measure,silhouette,davies_bouldin,calinski_harabasz,runtime_sec
CLIQUE,"xi=8, tau=0.05",48,0.0,0.985,0.984992402403717,0.9849924024037169,0.19160017523673523,0.4840274662419251,0.9698162381117849,0.32248975047114065,0.48402746624192505,-0.1361552651550845,2.980800531952825,70.23292988752438,0.0798517000002903
KMeans,k=4,4,0.0,1.0,1.0,1.0,0.8694127038505607,0.9050058388891631,1.0,0.8264937577119711,0.9050058388891631,0.39477409904642696,1.3472136582937477,914.3040299975067,2.219304900005227
KMeans,k=5,5,0.0,1.0,1.0,1.0,0.8269995879224618,0.8597718942648962,1.0,0.7540349952263299,0.8597718942648962,0.39704295391526756,1.263862726406477,761.2285105163828,0.07841220000409521
KMeans,k=6,6,0.0,1.0,1.0,1.0,0.7038114148556388,0.7966981952413039,0.9999999999999998,0.6620934100577285,0.796698195241304,0.2934474504236253,1.5567375163455497,652.827691381436,0.24108200000046054
KMeans,k=7,7,0.0,1.0,1.0,1.0,0.5447193384778513,0.7345066661243334,0.9999999999999998,0.580411327711109,0.7345066661243335,0.1913622561223043,1.7798319179684319,583.6612015528777,0.09893589999410324
DBSCAN,eps=0.2,4,22.0,0.965,0.9652104439226981,0.9652104439226981,0.7767670099244621,0.7909815875187445,0.8967451971844543,0.7075338738393577,0.7909815875187443,0.4229404055660522,1.0789003715689853,614.3076378545007,0.01635579999856418
DBSCAN,eps=0.3,2,0.5,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5633354692424153,0.7228649830911119,0.579380164285695,0.9608123532455877,0.7228649830911118,0.5599502132154432,0.6485772028748208,1135.4773663692952,0.01133760000084294
DBSCAN,eps=0.5,1,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,,,,0.01378370000020368
Agglomerative,k=5,5,0.0,1.0,1.0,1.0,0.8569826304082037,0.8803794299045186,1.0,0.7863194491232326,0.8803794299045186,0.3840598777530781,1.3421435291362842,722.6390921470111,0.013473799997882452
Agglomerative,k=6,6,0.0,1.0,1.0,1.0,0.8190609205098569,0.8417907382669431,0.9999999999999998,0.7268036667288874,0.8417907382669433,0.3742483743927601,1.4171902575495672,610.4229530739364,0.009721399997943081
