feature_set,xi,tau,n_clusters,n_noise,coverage,runtime_sec,silhouette,davies_bouldin,calinski_harabasz,quality_score
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,8,0.06,83,0,1.0,7.01,-0.2069,3.8004,39.1,-2.335932
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,8,0.08,56,0,1.0,1.1,-0.1598,4.2372,50.3,-1.648776
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,8,0.1,42,0,1.0,0.45,-0.1086,4.9821,69.4,-1.307168
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,8,0.12,40,0,1.0,0.19,-0.0694,3.386,78.5,-1.09028
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,8,0.14,32,1,1.0,0.1,-0.1066,3.2596,76.9,-0.9173680000000001
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,8,0.16,24,6,0.998,0.07,-0.1008,3.8986,90.4,-0.763188
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,8,0.18,17,23,0.993,0.04,-0.0317,4.7034,93.1,-0.5847220000000001
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,8,0.2,16,23,0.993,0.03,-0.035,5.8437,107.4,-0.6542460000000001
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,10,0.06,62,0,1.0,2.73,-0.1546,4.9998,48.9,-1.854584
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,10,0.08,41,0,1.0,0.59,-0.0937,4.1368,70.9,-1.1996440000000002
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,10,0.1,41,2,0.999,0.35,-0.0649,4.7532,66.5,-1.2204059999999999
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,10,0.12,35,9,0.997,0.13,-0.1003,4.2648,68.0,-1.067234
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,10,0.14,25,11,0.996,0.1,-0.0392,4.8346,73.5,-0.801968
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,10,0.16,18,24,0.992,0.03,-0.0532,5.1203,90.7,-0.6648240000000001
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,10,0.18,13,66,0.979,0.02,-0.0024,3.7436,131.2,-0.382138
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,10,0.2,11,129,0.958,0.02,-0.0136,3.6101,158.3,-0.33790800000000004
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,12,0.06,43,0,1.0,0.65,-0.1433,3.9461,58.6,-1.2839880000000001
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,12,0.08,30,0,1.0,0.43,-0.1077,2.8472,72.6,-0.835476
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,12,0.1,23,3,0.999,0.13,-0.1289,3.3761,79.5,-0.7242379999999999
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,12,0.12,18,11,0.996,0.15,-0.0736,4.2894,90.1,-0.617752
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,12,0.14,16,30,0.99,0.06,-0.0495,4.1515,106.1,-0.53412
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,12,0.16,13,55,0.982,0.1,-0.0189,3.8332,125.8,-0.4050560000000001
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,12,0.18,11,113,0.964,0.01,-0.0335,3.2403,152.3,-0.326724
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,12,0.2,8,246,0.921,0.01,0.0875,2.253,247.1,-0.11249
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,14,0.06,29,0,1.0,0.09,-0.1056,3.0066,73.6,-0.8211280000000001
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,14,0.08,25,5,0.998,0.04,-0.1161,3.4492,75.7,-0.767536
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,14,0.1,18,13,0.996,0.02,-0.0765,3.7303,91.4,-0.5759240000000001
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,14,0.12,14,37,0.988,0.01,-0.0081,5.0664,147.3,-0.516412
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,14,0.14,12,64,0.979,0.01,-0.0028,3.7131,152.9,-0.35509799999999997
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,14,0.16,9,299,0.904,0.01,0.0279,4.7195,232.4,-0.37366
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,14,0.18,8,365,0.882,0.0,0.0413,2.2818,261.3,-0.170744
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,14,0.2,7,507,0.836,0.0,0.1001,2.11,272.7,-0.10970000000000002
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.06,26,0,1.0,0.07,-0.1185,3.6383,71.4,-0.809564
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.08,25,6,0.998,0.04,-0.1556,4.3205,72.4,-0.8767399999999999
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.1,19,20,0.994,0.02,-0.0693,3.906,101.3,-0.60828
recency|frequency|monetary|avg_basket|product_diversity|return_rate|weekend_ratio|repeat_category_rate,16,0.12,13,122,0.961,0.01,-0.0046,3.8408,165.7,-0.396614
